FIPS code,State,Jurisdiction,Equipment Type,Make,Model,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots
4830500000,Texas,Lynn County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,Yes,No,Yes,Yes
4830500000,Texas,Lynn County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4830500000,Texas,Lynn County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4831300000,Texas,Madison County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No
4831300000,Texas,Madison County,Batch-Fed Optical Scanner,Hart InterCivic,Verity Central,N/A,No,No,No,Yes
4831300000,Texas,Madison County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4831500000,Texas,Marion County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No
4831500000,Texas,Marion County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4831500000,Texas,Marion County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4831700000,Texas,Martin County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No
4831700000,Texas,Martin County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,No,No,No,Yes
4831700000,Texas,Martin County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4831900000,Texas,Mason County,Batch-Fed Optical Scanner,Election Systems & Software,Model 650,N/A,Yes,No,Yes,Yes
4831900000,Texas,Mason County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4831900000,Texas,Mason County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4832100000,Texas,Matagorda County,DRE-Dial,Hart InterCivic,eSlate,No,Yes,Yes,Yes,No
4832100000,Texas,Matagorda County,Hand-Fed Optical Scanner,Hart InterCivic,eScan,N/A,No,No,No,Yes
4832100000,Texas,Matagorda County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4832300000,Texas,Maverick County,Batch-Fed Optical Scanner,Election Systems & Software,Model 650,N/A,Yes,No,Yes,Yes
4832300000,Texas,Maverick County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4832300000,Texas,Maverick County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4830700000,Texas,McCulloch County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4830700000,Texas,McCulloch County,Ballot Marking Device,Hart InterCivic,Verity Touch Writer,N/A,Yes,Yes,Yes,No
4830700000,Texas,McCulloch County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4830900000,Texas,McLennan County,DRE-Dial,Hart InterCivic,eSlate,No,Yes,Yes,Yes,No
4830900000,Texas,McLennan County,Batch-Fed Optical Scanner,Hart InterCivic,Ballot Now,N/A,No,No,No,Yes
4830900000,Texas,McLennan County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4831100000,Texas,McMullen County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4831100000,Texas,McMullen County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4831100000,Texas,McMullen County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4832500000,Texas,Medina County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No
4832500000,Texas,Medina County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,No
4832500000,Texas,Medina County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4832700000,Texas,Menard County,DRE-Dial,Hart InterCivic,eSlate,No,Yes,Yes,Yes,No
